Experiment,Orifice width (um),Aspect ratio,Flow rate ratio,New_ca_number,Normalized oil inlet,Normalized water inlet,Expansion ratio,Qin,Observed droplet diameter (um),Observed generation rate (Hz),Norm. size,Depth,Hyd_d,viscosity ratio
1,45,1,12.74509804,3.65457118,1,1,1,510,39.461,4401.191693,0.876911111,45,45,0.80780911
2,45,1,10.48387097,3.65457118,1,1,1,620,39.617,5287.511217,0.880377778,45,45,0.80780911
3,45,1,10.4,3.65457118,1,1,1,625,39.639,5321.282514,0.880866667,45,45,0.80780911
4,45,1,12.74509804,3.65457118,1,1,1,510,40.715,4006.925127,0.904777778,45,45,0.80780911
5,45,1,11.81818182,3.65457118,1,1,1,550,39.614,4691.599878,0.880311111,45,45,0.80780911
6,45,1,11.01694915,3.65457118,1,1,1,590,38.885,5321.205979,0.864111111,45,45,0.80780911
7,45,1,10.48387097,3.65457118,1,1,1,620,38.865,5600.412831,0.863666667,45,45,0.80780911
8,45,1,10.4,3.65457118,1,1,1,625,38.725,5707.029358,0.860555556,45,45,0.80780911
9,45,1,10.31746032,3.65457118,1,1,1,630,39.371,5474.135974,0.874911111,45,45,0.80780911
10,45,1,10.31746032,3.65457118,1,1,1,630,39.716,5332.715466,0.882577778,45,45,0.80780911
11,45,1,10.23622047,3.65457118,1,1,1,635,39.189,5594.812663,0.870866667,45,45,0.80780911
12,45,1,10.31746032,3.65457118,1,1,1,630,39.041,5614.125522,0.867577778,45,45,0.80780911
13,45,1,10.15625,3.65457118,1,1,1,640,39.157,5652.70224,0.870155556,45,45,0.80780911
14,45,1,10.31746032,3.65457118,1,1,1,630,38.858,5693.818068,0.863511111,45,45,0.80780911
15,45,1,10.31746032,3.65457118,1,1,1,630,39.629,5367.91435,0.880644444,45,45,0.80780911
16,45,1,10.31746032,3.65457118,1,1,1,630,40.98,4854.327309,0.910666667,45,45,0.80780911
17,45,1,8.666666667,3.65457118,1,1,1,750,38.628,6900.156863,0.8584,45,45,0.80780911
18,45,1,7.471264368,3.65457118,1,1,1,870,38.837,7875.653419,0.863044444,45,45,0.80780911
19,45,1,6.565656566,3.65457118,1,1,1,990,38.891,8924.671354,0.864244444,45,45,0.80780911
20,45,1,10.31746032,3.65457118,1,1,1,630,40.221,5134.360111,0.8938,45,45,0.80780911
21,45,1,10.48387097,3.65457118,1,1,1,620,40.231,5049.095381,0.894022222,45,45,0.80780911
22,45,1,10.4,3.65457118,1,1,1,625,40.162,5116.092529,0.892488889,45,45,0.80780911
23,45,1,10.23622047,3.65457118,1,1,1,635,40.228,5172.407938,0.893955556,45,45,0.80780911
24,45,1,10.15625,3.65457118,1,1,1,640,40.184,5230.278891,0.892977778,45,45,0.80780911
25,45,1,10.48387097,3.65457118,1,1,1,620,40.238,5046.460743,0.894177778,45,45,0.80780911
26,45,1,10.4,3.65457118,1,1,1,625,40.242,5085.641188,0.894266667,45,45,0.80780911
27,45,1,10.23622047,3.65457118,1,1,1,635,40.47,5080.172751,0.899333333,45,45,0.80780911
28,45,1,10.15625,3.65457118,1,1,1,640,40.106,5260.854543,0.891244444,45,45,0.80780911
29,45,1,11.81818182,3.65457118,1,1,1,550,40.605,4356.407666,0.902333333,45,45,0.80780911
30,45,1,11.01694915,3.65457118,1,1,1,590,40.446,4728.568096,0.8988,45,45,0.80780911
31,45,1,9.701492537,3.65457118,1,1,1,670,40.887,5197.846291,0.9086,45,45,0.80780911
32,45,1,12.74509804,3.65457118,1,1,1,510,40.265,4142.775836,0.894777778,45,45,0.80780911
33,45,1,8.666666667,3.65457118,1,1,1,750,40,6214.206172,0.888888889,45,45,0.80780911
34,45,1,7.471264368,3.65457118,1,1,1,870,40.015,7200.375699,0.889222222,45,45,0.80780911
35,45,1,6.565656566,3.65457118,1,1,1,990,39.784,8337.084908,0.884088889,45,45,0.80780911
36,45,1,10.31746032,3.65457118,1,1,1,630,40.482,5035.690575,0.8996,45,45,0.80780911
37,45,1,10.31746032,3.65457118,1,1,1,630,40.568,5003.732975,0.901511111,45,45,0.80780911
38,45,1,10.31746032,3.65457118,1,1,1,630,40.444,5049.898079,0.898755556,45,45,0.80780911
39,45,1,10.31746032,3.65457118,1,1,1,630,40.501,5028.606806,0.900022222,45,45,0.80780911
40,45,1,10.31746032,3.65457118,1,1,1,630,41.515,4669.063616,0.922555556,45,45,0.80780911
41,45,1,10.31746032,3.65457118,1,1,1,630,42.537,4340.545832,0.945266667,45,45,0.80780911
42,45,1,10.31746032,3.65457118,1,1,1,630,40.732,4943.536132,0.905155556,45,45,0.80780911
43,45,1,12.74509804,3.65457118,1,1,1,510,45.136,2941.069845,1.003022222,45,45,0.80780911
44,45,1,10.31746032,3.65457118,1,1,1,630,43.252,4128.823663,0.961155556,45,45,0.80780911
45,45,1,10.31746032,3.65457118,1,1,1,630,43.359,4098.332083,0.963533333,45,45,0.80780911
46,45,1,11.81818182,3.65457118,1,1,1,550,45.754,3044.947819,1.016755556,45,45,0.80780911
47,45,1,11.01694915,3.65457118,1,1,1,590,44.22,3618.263286,0.982666667,45,45,0.80780911
48,45,1,10.31746032,3.65457118,1,1,1,630,43.813,3972.244234,0.973622222,45,45,0.80780911
49,45,1,9.701492537,3.65457118,1,1,1,670,46.246,3592.168058,1.027688889,45,45,0.80780911
50,45,1,10.31746032,3.65457118,1,1,1,630,43.846,3963.282042,0.974355556,45,45,0.80780911
51,45,1,10.31746032,3.65457118,1,1,1,630,45.071,3648.827532,1.001577778,45,45,0.80780911
52,45,1,10.31746032,3.65457118,1,1,1,630,46.699,3280.365046,1.037755556,45,45,0.80780911
53,45,1,8.666666667,3.65457118,1,1,1,750,44.248,4590.761128,0.983288889,45,45,0.80780911
54,45,1,7.471264368,3.65457118,1,1,1,870,44.577,5208.241442,0.9906,45,45,0.80780911
55,45,1,6.565656566,3.65457118,1,1,1,990,45.795,5466.198179,1.017666667,45,45,0.80780911
56,45,1,10.15625,3.65457118,1,1,1,640,38.29,6045.44457,0.850888889,45,45,0.80780911
57,45,1,9.420289855,3.65457118,1,1,1,690,38.366,6479.088199,0.852577778,45,45,0.80780911
58,45,1,8.783783784,3.65457118,1,1,1,740,37.776,7279.275879,0.839466667,45,45,0.80780911
59,45,1,8.783783784,3.65457118,1,1,1,740,38.939,6646.327018,0.865311111,45,45,0.80780911
60,45,1,10.15625,3.65457118,1,1,1,640,40.587,5076.021911,0.901933333,45,45,0.80780911
61,45,1,9.420289855,3.65457118,1,1,1,690,39.207,6071.033388,0.871266667,45,45,0.80780911
62,45,1,8.724832215,3.65457118,1,1,1,745,38.823,6751.392634,0.862733333,45,45,0.80780911
63,45,1,8.441558442,3.65457118,1,1,1,770,39.012,6877.02253,0.866933333,45,45,0.80780911
64,45,1,8.125,3.65457118,1,1,1,800,39.584,6839.67273,0.879644444,45,45,0.80780911
65,45,1,7.831325301,3.65457118,1,1,1,830,39.152,7333.657187,0.870044444,45,45,0.80780911
66,45,1,8.783783784,3.65457118,1,1,1,740,38.032,7133.268891,0.845155556,45,45,0.80780911
67,45,1,8.783783784,3.65457118,1,1,1,740,39.388,6421.615535,0.875288889,45,45,0.80780911
68,45,1,8.227848101,3.65457118,1,1,1,790,38.454,7367.275217,0.854533333,45,45,0.80780911
69,45,1,7.303370787,3.65457118,1,1,1,890,38.835,8057.947746,0.863,45,45,0.80780911
70,45,1,6.914893617,3.65457118,1,1,1,940,38.413,8794.224404,0.853622222,45,45,0.80780911
71,45,1,6.565656566,3.65457118,1,1,1,990,38.64,9099.723787,0.858666667,45,45,0.80780911
72,45,1,6.25,3.65457118,1,1,1,1040,38.493,9669.241978,0.8554,45,45,0.80780911
73,45,1,8.843537415,3.65457118,1,1,1,735,39.907,6132.597542,0.886822222,45,45,0.80780911
74,45,1,8.783783784,3.65457118,1,1,1,740,39.189,6519.939167,0.870866667,45,45,0.80780911
75,45,1,8.904109589,3.65457118,1,1,1,730,38.874,6589.455626,0.863866667,45,45,0.80780911
76,45,1,8.843537415,3.65457118,1,1,1,735,38.928,6607.017132,0.865066667,45,45,0.80780911
77,45,1,8.666666667,3.65457118,1,1,1,750,38.519,6958.9004,0.855977778,45,45,0.80780911
78,45,1,8.724832215,3.65457118,1,1,1,745,38.778,6774.923917,0.861733333,45,45,0.80780911
79,45,1,8.666666667,3.65457118,1,1,1,750,38.879,6767.377047,0.863977778,45,45,0.80780911
80,45,1,10.31746032,3.65457118,1,1,1,630,38.399,5900.450545,0.853311111,45,45,0.80780911
81,45,1,10.4,3.65457118,1,1,1,625,39.43,5406.348715,0.876222222,45,45,0.80780911
82,45,1,11.81818182,3.65457118,1,1,1,550,39.793,4628.571878,0.884288889,45,45,0.80780911
83,45,1,10.48387097,3.65457118,1,1,1,620,39.628,5283.109293,0.880622222,45,45,0.80780911
84,45,1,10.4,3.65457118,1,1,1,625,39.453,5396.898974,0.876733333,45,45,0.80780911
85,45,1,10.31746032,3.65457118,1,1,1,630,39.866,5272.74697,0.885911111,45,45,0.80780911
86,45,1,10.23622047,3.65457118,1,1,1,635,39.187,5595.66934,0.870822222,45,45,0.80780911
87,45,1,10.15625,3.65457118,1,1,1,640,39.691,5427.604824,0.882022222,45,45,0.80780911
88,45,1,10.31746032,3.65457118,1,1,1,630,38.194,5995.97049,0.848755556,45,45,0.80780911
89,45,1,10.23622047,3.65457118,1,1,1,635,39.358,5523.050697,0.874622222,45,45,0.80780911
90,45,1,10.31746032,3.65457118,1,1,1,630,38.257,5966.397516,0.850155556,45,45,0.80780911
91,45,1,10.15625,3.65457118,1,1,1,640,39.597,5466.350712,0.879933333,45,45,0.80780911
92,45,1,10.31746032,3.65457118,1,1,1,630,38.098,6041.411051,0.846622222,45,45,0.80780911
93,45,1,8.666666667,3.65457118,1,1,1,750,39.649,6380.708684,0.881088889,45,45,0.80780911
94,45,1,7.471264368,3.65457118,1,1,1,870,39.878,7274.84114,0.886177778,45,45,0.80780911
95,45,1,10.83333333,2.411336056,1,1,1,600,41.897,4326.202447,0.931044444,45,45,0.87493028
96,45,1,10,2.411336056,1,1,1,650,41.919,4679.344114,0.931533333,45,45,0.87493028
97,45,1,9.420289855,2.411336056,1,1,1,690,41.334,5181.209509,0.918533333,45,45,0.87493028
98,45,1,9.285714286,2.411336056,1,1,1,700,41.929,5035.68893,0.931755556,45,45,0.87493028
99,45,1,9.285714286,2.411336056,1,1,1,700,42.33,4893.92831,0.940666667,45,45,0.87493028
100,45,1,9.285714286,2.411336056,1,1,1,700,41.838,5068.619171,0.929733333,45,45,0.87493028
101,45,1,9.352517986,2.411336056,1,1,1,695,41.025,5337.567792,0.911666667,45,45,0.87493028
102,45,1,9.285714286,2.411336056,1,1,1,700,42.066,4986.648494,0.9348,45,45,0.87493028
103,45,1,9.848484848,2.411336056,1,1,1,660,42.196,4658.375073,0.937688889,45,45,0.87493028
104,45,1,9.420289855,2.411336056,1,1,1,690,40.979,5317.033428,0.910644444,45,45,0.87493028
105,45,1,9.352517986,2.411336056,1,1,1,695,41.547,5138.89996,0.923266667,45,45,0.87493028
106,45,1,9.285714286,2.411336056,1,1,1,700,41.972,5020.227704,0.932711111,45,45,0.87493028
107,45,1,9.219858156,2.411336056,1,1,1,705,41.357,5285.017162,0.919044444,45,45,0.87493028
108,45,1,9.154929577,2.411336056,1,1,1,710,41.127,5412.297042,0.913933333,45,45,0.87493028
109,45,1,8.125,2.411336056,1,1,1,800,41.276,6032.55853,0.917244444,45,45,0.87493028
110,45,1,7.647058824,2.411336056,1,1,1,850,42.227,5986.219118,0.938377778,45,45,0.87493028
111,45,1,7.222222222,2.411336056,1,1,1,900,42.353,6281.94809,0.941177778,45,45,0.87493028
112,45,1,6.5,2.411336056,1,1,1,1000,42.532,6892.185424,0.945155556,45,45,0.87493028
113,45,1,5.909090909,2.411336056,1,1,1,1100,43.553,7060.619828,0.967844444,45,45,0.87493028
114,45,1,9.285714286,2.411336056,1,1,1,700,42.036,4997.332639,0.934133333,45,45,0.87493028
115,45,1,9.219858156,2.411336056,1,1,1,705,41.309,5303.461741,0.917977778,45,45,0.87493028
116,45,1,9.285714286,2.411336056,1,1,1,700,42.048,4993.055322,0.9344,45,45,0.87493028
117,45,1,9.154929577,2.411336056,1,1,1,710,41.473,5277.963253,0.921622222,45,45,0.87493028
118,45,1,9.285714286,2.411336056,1,1,1,700,42.458,4849.799791,0.943511111,45,45,0.87493028
119,45,1,9.285714286,2.411336056,1,1,1,700,43.175,4612.170672,0.959444444,45,45,0.87493028
120,45,1,8.333333333,2.411336056,1,1,1,780,41.932,5609.991974,0.931822222,45,45,0.87493028
121,45,1,7.222222222,2.411336056,1,1,1,900,42.589,6178.094536,0.946422222,45,45,0.87493028
122,45,1,6.5,2.411336056,1,1,1,1000,42.991,6673.777554,0.955355556,45,45,0.87493028
123,45,1,5.909090909,2.411336056,1,1,1,1100,43.739,6970.926522,0.971977778,45,45,0.87493028
124,45,1,9.285714286,2.411336056,1,1,1,700,41.929,5035.68893,0.931755556,45,45,0.87493028
125,45,1,9.285714286,2.411336056,1,1,1,700,42.33,4893.92831,0.940666667,45,45,0.87493028
126,45,1,9.285714286,2.411336056,1,1,1,700,43.175,4612.170672,0.959444444,45,45,0.87493028
127,45,1,14.44444444,3.042841483,1,1,1,450,46.456,2380.079388,1.032355556,45,45,0.96870158
128,45,1,13,3.042841483,1,1,1,500,45.053,2899.367239,1.001177778,45,45,0.96870158
129,45,1,10,3.042841483,1,1,1,650,44.091,4021.313007,0.9798,45,45,0.96870158
130,45,1,11.81818182,3.042841483,1,1,1,550,44.914,3219.006504,0.998088889,45,45,0.96870158
131,45,1,10,3.042841483,1,1,1,650,42.573,4466.989801,0.946066667,45,45,0.96870158
132,45,1,10.83333333,3.042841483,1,1,1,600,45.504,3376.812096,1.0112,45,45,0.96870158
133,45,1,10,3.042841483,1,1,1,650,42.69,4430.362484,0.948666667,45,45,0.96870158
134,45,1,10.15625,3.042841483,1,1,1,640,43.543,4110.827944,0.967622222,45,45,0.96870158
135,45,1,10,3.042841483,1,1,1,650,42.781,4402.15094,0.950688889,45,45,0.96870158
136,45,1,10.07751938,3.042841483,1,1,1,645,43.284,4217.760528,0.961866667,45,45,0.96870158
137,45,1,10,3.042841483,1,1,1,650,43.171,4283.920467,0.959355556,45,45,0.96870158
138,45,1,10.83333333,3.042841483,1,1,1,600,44.747,3551.107725,0.994377778,45,45,0.96870158
139,45,1,10.15625,3.042841483,1,1,1,640,43.356,4164.249284,0.963466667,45,45,0.96870158
140,45,1,10.07751938,3.042841483,1,1,1,645,43.213,4238.584351,0.960288889,45,45,0.96870158
141,45,1,10,3.042841483,1,1,1,650,43.211,4272.034726,0.960244444,45,45,0.96870158
142,45,1,9.923664122,3.042841483,1,1,1,655,42.996,4369.799453,0.955466667,45,45,0.96870158
143,45,1,9.848484848,3.042841483,1,1,1,660,43.134,4361.03028,0.958533333,45,45,0.96870158
144,45,1,9.285714286,3.042841483,1,1,1,700,42.413,4865.253022,0.942511111,45,45,0.96870158
145,45,1,8.666666667,3.042841483,1,1,1,750,42.165,5305.292315,0.937,45,45,0.96870158
146,45,1,8.125,3.042841483,1,1,1,800,42.445,5547.72266,0.943222222,45,45,0.96870158
147,45,1,10,3.042841483,1,1,1,650,43.56,4170.173383,0.968,45,45,0.96870158
148,45,1,9.923664122,3.042841483,1,1,1,655,43.031,4359.14537,0.956244444,45,45,0.96870158
149,45,1,10,3.042841483,1,1,1,650,43.62,4152.988624,0.969333333,45,45,0.96870158
150,45,1,9.848484848,3.042841483,1,1,1,660,43.562,4233.746709,0.968044444,45,45,0.96870158
151,45,1,8.125,3.042841483,1,1,1,800,45.305,4562.007042,1.006777778,45,45,0.96870158
152,45,1,7.222222222,3.042841483,1,1,1,900,46.05,4887.175944,1.023333333,45,45,0.96870158
153,45,1,6.5,3.042841483,1,1,1,1000,45.843,5504.08684,1.018733333,45,45,0.96870158
154,45,1,5.909090909,3.042841483,1,1,1,1100,46.585,5769.773362,1.035222222,45,45,0.96870158
155,45,1,5.416666667,3.042841483,1,1,1,1200,47.149,6071.110765,1.047755556,45,45,0.96870158
156,45,1,4.642857143,3.042841483,1,1,1,1400,47.868,6768.564272,1.063733333,45,45,0.96870158
157,45,1,11.81818182,12.53184401,1,1,1,550,38.849,4974.249046,0.863311111,45,45,3.96343353
158,45,1,11.40350877,12.53184401,1,1,1,570,39.155,5035.209435,0.870111111,45,45,3.96343353
159,45,1,10.83333333,12.53184401,1,1,1,600,39.253,5260.621506,0.872288889,45,45,3.96343353
160,45,1,10.83333333,12.53184401,1,1,1,600,38.618,5524.414854,0.858177778,45,45,3.96343353
161,45,1,11.81818182,12.53184401,1,1,1,550,40.273,4465.037511,0.894955556,45,45,3.96343353
162,45,1,11.20689655,12.53184401,1,1,1,580,39.696,4916.908442,0.882133333,45,45,3.96343353
163,45,1,11.01694915,12.53184401,1,1,1,590,38.973,5285.241881,0.866066667,45,45,3.96343353
164,45,1,10.83333333,12.53184401,1,1,1,600,39.086,5328.340082,0.868577778,45,45,3.96343353
165,45,1,10.48387097,12.53184401,1,1,1,620,38.909,5581.434733,0.864644444,45,45,3.96343353
166,45,1,10.83333333,12.53184401,1,1,1,600,39.154,5300.626574,0.870088889,45,45,3.96343353
167,45,1,10.74380165,12.53184401,1,1,1,605,39.223,5316.640796,0.871622222,45,45,3.96343353
168,45,1,10.83333333,12.53184401,1,1,1,600,39.253,5260.621506,0.872288889,45,45,3.96343353
169,45,1,10.6557377,12.53184401,1,1,1,610,38.859,5512.63633,0.863533333,45,45,3.96343353
170,45,1,10.83333333,12.53184401,1,1,1,600,39.727,5074.559019,0.882822222,45,45,3.96343353
171,45,1,10.83333333,12.53184401,1,1,1,600,40.495,4791.278428,0.899888889,45,45,3.96343353
172,45,1,9.285714286,12.53184401,1,1,1,700,39.026,6245.112813,0.867244444,45,45,3.96343353
173,45,1,8.666666667,12.53184401,1,1,1,750,39.756,6329.327764,0.883466667,45,45,3.96343353
174,45,1,8.125,12.53184401,1,1,1,800,39.866,6695.551708,0.885911111,45,45,3.96343353
175,45,1,6.842105263,12.53184401,1,1,1,950,40.335,7676.827642,0.896333333,45,45,3.96343353
176,45,1,6.19047619,12.53184401,1,1,1,1050,40.22,8557.905153,0.893777778,45,45,3.96343353
177,45,1,5.652173913,12.53184401,1,1,1,1150,40.889,8920.367378,0.908644444,45,45,3.96343353
178,45,1,5.2,12.53184401,1,1,1,1250,41.069,9569.119914,0.912644444,45,45,3.96343353
179,45,1,4.642857143,12.53184401,1,1,1,1400,41.477,10404.24078,0.921711111,45,45,3.96343353
180,45,1,10.92436975,12.53184401,1,1,1,595,38.984,5325.521462,0.866311111,45,45,3.96343353
181,45,1,5.625,2.53008774,1,1,1,800,45.9,4386.885497,1.02,45,45,0.80780911
182,45,1,6.428571429,2.53008774,1,1,1,700,45.4,3966.750179,1.008888889,45,45,0.80780911
183,45,1,9,2.53008774,1,1,1,500,44.4,3029.182663,0.986666667,45,45,0.80780911
184,45,1,7.258064516,2.53008774,1,1,1,620,41.2,4701.153264,0.915555556,45,45,0.80780911
185,45,1,8.333333333,2.53008774,1,1,1,540,41.4,4035.497709,0.92,45,45,0.80780911
186,45,1,8.823529412,2.53008774,1,1,1,510,41.8,3702.931681,0.928888889,45,45,0.80780911
187,60,1,8.75,2.213826772,1,1,1,800,53.3902,2787.466857,0.889836667,60,60,0.80780911
188,60,1,11.66666667,2.213826772,1,1,1,600,53.0023,2136.837375,0.883371667,60,60,0.80780911
189,60,1,14,2.213826772,1,1,1,500,52.7989,1801.356824,0.879981667,60,60,0.80780911
190,60,1,8.75,2.213826772,1,1,1,800,52.6897,2900.128079,0.878161667,60,60,0.80780911
191,60,1,10,2.213826772,1,1,1,700,54.2091,2330.160401,0.903485,60,60,0.80780911
192,30,1,7.142857143,3.162609675,1,1,1,350,30.0658,6828.952948,1.002193333,30,30,0.80780911
193,30,1,6.493506494,3.162609675,1,1,1,385,29.1966,8202.915885,0.97322,30,30,0.80780911
194,30,1,7.692307692,3.162609675,1,1,1,325,27.9787,7868.738899,0.932623333,30,30,0.80780911
195,30,1,7.142857143,3.162609675,1,1,1,350,27.3874,9034.830275,0.912913333,30,30,0.80780911
196,30,1,8.333333333,3.162609675,1,1,1,300,27.5273,7626.666844,0.917576667,30,30,0.80780911
197,30,1,7.936507937,3.162609675,1,1,1,315,27.6777,7878.162405,0.92259,30,30,0.80780911
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
