Experimental outputs:13.4297520661,51.9507415467
Desired outputs:5.0,25.0
orifice_size,aspect_ratio,expansion_ratio,normalized_orifice_length,normalized_water_inlet,normalized_oil_inlet,flow_rate_ratio,capillary_number,regime,generation_rate,droplet_size,cost_function
75.0,1.0,2.0,1.0,2.0,2.0,22.0,0.03304800000000002,1,21.291363,49.707874,1.1000187932137873
75.0,0.9928592511887098,2.0,1.0,2.0,2.0,22.0,0.03304800000000002,1,21.73902,49.634644,1.0939481137340492
75.0,0.9857185023774194,2.0,1.0,2.0,2.0,22.0,0.03304800000000002,1,22.186787,49.561424,1.0880747011643002
75.0,0.9785777535661292,2.0,1.0,2.0,2.0,22.0,0.03304800000000002,1,22.6345,49.488186,1.0823893043765211
75.0,0.9714370047548389,2.0,1.0,2.0,2.0,22.0,0.03304800000000002,1,23.082226,49.41496,1.0768834858571426
75.0,0.9642962559435486,2.0,1.0,2.0,2.0,22.0,0.03304800000000002,1,23.529964,49.341732,1.0715487692414347
75.0,0.9571555071322584,2.0,1.0,2.0,2.0,22.0,0.03304800000000002,1,23.977655,49.2685,1.06637753069072
75.0,0.9500147583209682,2.0,1.0,2.0,2.0,22.0,0.03304800000000002,1,24.425426,49.19527,1.0613622095856385
75.0,0.9428740095096777,2.0,1.0,2.0,2.0,22.0,0.03304800000000002,1,24.87313,49.122047,1.056496537625618
75.0,0.9357332606983875,2.0,1.0,2.0,2.0,22.0,0.03304800000000002,1,25.374353,49.048817,1.0516713594602
75.0,0.9285925118870972,2.0,1.0,2.0,2.0,22.0,0.03304800000000002,1,26.011852,48.97559,1.0468078168978021
75.0,0.921451763075807,2.0,1.0,2.0,2.0,22.0,0.03304800000000002,1,26.649405,48.90236,1.0422004867527774
75.0,0.921451763075807,2.0,1.0,2.0,2.0,22.0,0.02980251224520919,1,23.632954,49.83018,1.0377827486071687
75.0,0.9143110142645168,2.0,1.0,2.0,2.0,22.0,0.02980251224520919,1,24.174212,49.756958,1.0327255581275372
75.0,0.9143110142645168,2.0,1.0,2.0,2.0,22.0,0.026557024490418357,1,21.497246,50.68478,1.027356568981365
75.0,0.9143110142645168,2.0,1.0,2.0,2.0,22.0,0.023311536735627525,1,18.913826,51.612606,1.021641246422638
75.0,0.9143110142645168,2.0,1.0,2.0,2.0,22.0,0.020066048980836693,1,17.010231,52.540436,1.0107394903576914
75.0,0.9143110142645168,2.0,1.0,2.0,2.0,22.0,0.01682056122604586,1,16.016745,53.46826,0.9890018684732993
75.0,0.9143110142645168,2.0,1.0,2.0,2.0,22.0,0.013575073471255028,1,15.740037,54.408443,0.9549773212010283
75.0,0.9143110142645168,2.0,1.0,2.0,2.0,22.0,0.010329585716464196,1,15.469259,55.409813,0.9117784471813766
75.0,0.9143110142645168,2.0,1.0,2.0,2.0,22.0,0.0070840979616733635,1,15.19847,56.41118,0.8519514220651175
75.0,0.9143110142645168,2.0,1.0,2.0,2.0,22.0,0.003838610206882531,1,14.927696,57.412525,0.8133967131217376
75.35881378693341,0.9143110142645168,2.0,1.0,2.0,2.0,22.0,0.003838610206882531,1,14.823411,57.267376,0.8064978795250114
75.7176275738668,0.9143110142645168,2.0,1.0,2.0,2.0,22.0,0.003838610206882531,1,14.719148,57.122234,0.7995834631575117
76.0764413608002,0.9143110142645168,2.0,1.0,2.0,2.0,22.0,0.003838610206882531,1,14.614873,56.97708,0.7926520624500629
76.43525514773361,0.9143110142645168,2.0,1.0,2.0,2.0,22.0,0.003838610206882531,1,14.514482,56.831944,0.7857876849369185
76.79406893466702,0.9143110142645168,2.0,1.0,2.0,2.0,22.0,0.003838610206882531,1,14.4147,56.686787,0.7789201560243509
77.15288272160043,0.9143110142645168,2.0,1.0,2.0,2.0,22.0,0.003838610206882531,1,14.31491,56.541637,0.7720365882571609
77.51169650853383,0.9143110142645168,2.0,1.0,2.0,2.0,22.0,0.003838610206882531,1,14.215123,56.42015,0.7656412913326469
77.87051029546724,0.9143110142645168,2.0,1.0,2.0,2.0,22.0,0.003838610206882531,1,14.115344,56.31167,0.7595068281304117
78.22932408240064,0.9143110142645168,2.0,1.0,2.0,2.0,22.0,0.003838610206882531,1,14.015553,56.20318,0.7533550429277419
78.58813786933405,0.9143110142645168,2.0,1.0,2.0,2.0,22.0,0.003838610206882531,1,13.915766,56.094696,0.7502563641195988
78.58813786933405,0.9143110142645168,2.0,1.0,2.0,2.0,22.05361067040206,0.003838610206882531,1,13.950958,55.987362,0.7474231301497813
78.58813786933405,0.9143110142645168,2.0,1.0,2.0,2.0,22.107221340804113,0.003838610206882531,1,13.986137,55.880016,0.7450478224920732
78.58813786933405,0.9143110142645168,1.9858991974448772,1.0,2.0,2.0,22.107221340804113,0.003838610206882531,1,13.967029,55.83796,0.7437557456815072
78.58813786933405,0.9143110142645168,1.9858991974448772,1.0,2.0,2.0,22.16083201120617,0.003838610206882531,1,14.002218,55.730618,0.7426508740262397
78.94695165626746,0.9143110142645168,1.9858991974448772,1.0,2.0,2.0,22.16083201120617,0.003838610206882531,1,13.90244,55.622128,0.7405486757124834
78.94695165626746,0.9143110142645168,1.9858991974448772,1.0,2.0,2.0,22.214442681608226,0.003838610206882531,1,13.937611,55.514793,0.7377174019577225
78.94695165626746,0.9143110142645168,1.9858991974448772,1.0,2.0,2.0,22.268053352010284,0.003838610206882531,1,13.972797,55.40746,0.7348896953563593
78.94695165626746,0.9143110142645168,1.9858991974448772,1.0,2.0,2.0,22.321664022412342,0.003838610206882531,1,14.007995,55.30012,0.7332671442320383
79.30576544320087,0.9143110142645168,1.9858991974448772,1.0,2.0,2.0,22.321664022412342,0.003838610206882531,1,13.9082,55.19163,0.7316791115323411
79.30576544320087,0.9071702654532263,1.9858991974448772,1.0,2.0,2.0,22.321664022412342,0.003838610206882531,1,13.988253,55.118404,0.7287341876923875
79.30576544320087,0.9071702654532263,1.9717983948897544,1.0,2.0,2.0,22.321664022412342,0.003838610206882531,1,13.969161,55.076336,0.7276318336095874
79.30576544320087,0.9071702654532263,1.9717983948897544,1.0,2.0,2.0,22.375274692814397,0.003838610206882531,1,14.004345,54.968998,0.7263332902083653
79.66457923013427,0.9071702654532263,1.9717983948897544,1.0,2.0,2.0,22.375274692814397,0.003838610206882531,1,13.9045515,54.86051,0.7244146981141084
79.66457923013427,0.9071702654532263,1.9717983948897544,1.0,2.0,2.0,22.428885363216455,0.003838610206882531,1,13.939738,54.753174,0.7215873396778661
79.66457923013427,0.9071702654532263,1.9717983948897544,1.0,2.0,2.0,22.48249603361851,0.003838610206882531,1,13.974917,54.64584,0.7187636723493124
79.66457923013427,0.9071702654532263,1.9717983948897544,1.0,2.0,2.0,22.53610670402057,0.003838610206882531,1,14.010102,54.538494,0.7169512562930994
80.02339301706766,0.9071702654532263,1.9717983948897544,1.0,2.0,2.0,22.53610670402057,0.003838610206882531,1,13.910315,54.43001,0.7155428713696736
80.02339301706766,0.9000295166419361,1.9717983948897544,1.0,2.0,2.0,22.53610670402057,0.003838610206882531,1,13.990388,54.35679,0.7124446042728314
80.02339301706766,0.9000295166419361,1.9717983948897544,1.0,2.0,2.0,22.589717374422627,0.003838610206882531,1,14.02556,54.249454,0.7113617425397863
80.38220680400107,0.9000295166419361,1.9717983948897544,1.0,2.0,2.0,22.589717374422627,0.003838610206882531,1,13.925778,54.14097,0.7090929630079356
80.38220680400107,0.9000295166419361,1.9717983948897544,1.0,2.0,2.0,22.64332804482468,0.003838610206882531,1,13.960962,54.033627,0.706270558248874
80.38220680400107,0.9000295166419361,1.9717983948897544,1.0,2.0,2.0,22.696938715226736,0.003838610206882531,1,13.9961405,53.926285,0.7034517176737473
80.38220680400107,0.9000295166419361,1.9717983948897544,1.0,2.0,2.0,22.750549385628794,0.003838610206882531,1,14.031322,53.81896,0.7019822396598694
80.74102059093448,0.9000295166419361,1.9717983948897544,1.0,2.0,2.0,22.750549385628794,0.003838610206882531,1,13.931543,53.710472,0.7002190409624502
80.74102059093448,0.9000295166419361,1.9717983948897544,1.0,2.0,2.0,22.804160056030852,0.003838610206882531,1,13.966723,53.603134,0.6973994897045578
80.74102059093448,0.9000295166419361,1.9717983948897544,1.0,2.0,2.0,22.857770726432907,0.003838610206882531,1,14.00191,53.495792,0.6945833590753199
80.74102059093448,0.9000295166419361,1.9717983948897544,1.0,2.0,2.0,22.911381396834965,0.003838610206882531,1,14.03709,53.38846,0.6926008746546739
80.74102059093448,0.9000295166419361,1.9576975923346316,1.0,2.0,2.0,22.911381396834965,0.003838610206882531,1,14.017984,53.346386,0.691278237760565
80.74102059093448,0.9000295166419361,1.9435967897795083,1.0,2.0,2.0,22.911381396834965,0.003838610206882531,1,13.998892,53.30432,0.6900936976630042
80.74102059093448,0.9000295166419361,1.9435967897795083,1.0,2.0,2.0,22.96499206723702,0.003838610206882531,1,14.034072,53.196976,0.688865730465729
81.0998343778679,0.9000295166419361,1.9435967897795083,1.0,2.0,2.0,22.96499206723702,0.003838610206882531,1,13.934286,53.088493,0.6868569898697923
81.0998343778679,0.9000295166419361,1.9435967897795083,1.0,2.0,2.0,23.01860273763908,0.003838610206882531,1,13.969469,52.98115,0.6840415516280559
81.0998343778679,0.9000295166419361,1.9435967897795083,1.0,2.0,2.0,23.072213408041137,0.003838610206882531,1,14.00466,52.873817,0.6812297430007422
81.0998343778679,0.9000295166419361,1.9435967897795083,1.0,2.0,2.0,23.12582407844319,0.003838610206882531,1,14.039839,52.76648,0.6794798231822934
81.45864816480129,0.9000295166419361,1.9435967897795083,1.0,2.0,2.0,23.12582407844319,0.003838610206882531,1,13.940055,52.658,0.6779898206463605
81.45864816480129,0.8928887678306459,1.9435967897795083,1.0,2.0,2.0,23.12582407844319,0.003838610206882531,1,14.020113,52.584766,0.6750126818456839
81.45864816480129,0.8928887678306459,1.9435967897795083,1.0,2.0,2.0,23.179434748845246,0.003838610206882531,1,14.055295,52.47743,0.6739181685655827
81.81746195173469,0.8928887678306459,1.9435967897795083,1.0,2.0,2.0,23.179434748845246,0.003838610206882531,1,13.955509,52.36894,0.6715115228221786
81.81746195173469,0.8928887678306459,1.9435967897795083,1.0,2.0,2.0,23.233045419247304,0.003838610206882531,1,13.990693,52.26161,0.6687011781064575
81.81746195173469,0.8928887678306459,1.9435967897795083,1.0,2.0,2.0,23.286656089649362,0.003838610206882531,1,14.0258665,52.154278,0.6658943189779408
81.81746195173469,0.8928887678306459,1.9435967897795083,1.0,2.0,2.0,23.34026676005142,0.003838610206882531,1,14.061054,52.046932,0.6645344910891547
82.1762757386681,0.8928887678306459,1.9435967897795083,1.0,2.0,2.0,23.34026676005142,0.003838610206882531,1,13.961265,51.93845,0.6626421836923143
82.1762757386681,0.8928887678306459,1.9435967897795083,1.0,2.0,2.0,23.393877430453475,0.003838610206882531,1,13.996454,51.831112,0.6598342663315762
82.1762757386681,0.8928887678306459,1.9435967897795083,1.0,2.0,2.0,23.44748810085553,0.003838610206882531,1,14.031634,51.723774,0.6570298103312052
82.1762757386681,0.8928887678306459,1.9435967897795083,1.0,2.0,2.0,23.50109877125759,0.003838610206882531,1,14.066814,51.616436,0.6551490770759202
82.5350895256015,0.8928887678306459,1.9435967897795083,1.0,2.0,2.0,23.50109877125759,0.003838610206882531,1,13.967033,51.50795,0.6537743785112834
82.5350895256015,0.8857480190193556,1.9435967897795083,1.0,2.0,2.0,23.50109877125759,0.003838610206882531,1,14.0470915,51.43472,0.6507142103613848
82.5350895256015,0.8857480190193556,1.9435967897795083,1.0,2.0,2.0,23.554709441659647,0.003838610206882531,1,14.082272,51.32739,0.6496124729433613
82.89390331253492,0.8857480190193556,1.9435967897795083,1.0,2.0,2.0,23.554709441659647,0.003838610206882531,1,13.982491,51.218906,0.6472716024110167
82.89390331253492,0.8857480190193556,1.9435967897795083,1.0,2.0,2.0,23.6083201120617,0.003838610206882531,1,14.017671,51.11156,0.6444683182453892
82.89390331253492,0.8857480190193556,1.9435967897795083,1.0,2.0,2.0,23.661930782463756,0.003838610206882531,1,14.052856,51.004227,0.641668656164148
82.89390331253492,0.8857480190193556,1.9435967897795083,1.0,2.0,2.0,23.715541452865814,0.003838610206882531,1,14.0880375,50.896893,0.6402296006381417
83.25271709946831,0.8857480190193556,1.9435967897795083,1.0,2.0,2.0,23.715541452865814,0.003838610206882531,1,13.988246,50.788406,0.6384015264309717
83.25271709946831,0.8857480190193556,1.9435967897795083,1.0,2.0,2.0,23.769152123267872,0.003838610206882531,1,14.023436,50.681072,0.6356009793063336
83.25271709946831,0.8857480190193556,1.9435967897795083,1.0,2.0,2.0,23.82276279366993,0.003838610206882531,1,14.058617,50.573734,0.6328037523325161
83.25271709946831,0.8857480190193556,1.9435967897795083,1.0,2.0,2.0,23.876373464071985,0.003838610206882531,1,14.093805,50.466396,0.6308451020848215
83.25271709946831,0.8857480190193556,1.9294959872243855,1.0,2.0,2.0,23.876373464071985,0.003838610206882531,1,14.074703,50.424328,0.6295236067520682
83.25271709946831,0.8857480190193556,1.9153951846692627,1.0,2.0,2.0,23.876373464071985,0.003838610206882531,1,14.058544,50.38226,0.6283217992791394
83.25271709946831,0.8857480190193556,1.9153951846692627,1.0,2.0,2.0,23.92998413447404,0.003838610206882531,1,14.091143,50.274918,0.6271013498176222
83.61153088640171,0.8857480190193556,1.9153951846692627,1.0,2.0,2.0,23.92998413447404,0.003838610206882531,1,14.003913,50.16643,0.6250194885212743
83.61153088640171,0.8857480190193556,1.9153951846692627,1.0,2.0,2.0,23.9835948048761,0.003838610206882531,1,14.036493,50.059097,0.6222314715849026
83.61153088640171,0.8857480190193556,1.9153951846692627,1.0,2.0,2.0,24.037205475278157,0.003838610206882531,1,14.069084,49.951756,0.6194463410088086
83.61153088640171,0.8857480190193556,1.9153951846692627,1.0,2.0,2.0,24.09081614568021,0.003838610206882531,1,14.101679,49.84442,0.6178186436059075
83.97034467333512,0.8857480190193556,1.9153951846692627,1.0,2.0,2.0,24.09081614568021,0.003838610206882531,1,14.014438,49.73594,0.6161405969812902
83.97034467333512,0.8857480190193556,1.9153951846692627,1.0,2.0,2.0,24.14442681608227,0.003838610206882531,1,14.047031,49.6286,0.613355123939529
83.97034467333512,0.8857480190193556,1.9153951846692627,1.0,2.0,2.0,24.198037486484324,0.003838610206882531,1,14.079617,49.52127,0.6105729003824627
83.97034467333512,0.8857480190193556,1.9153951846692627,1.0,2.0,2.0,24.251648156886382,0.003838610206882531,1,14.112203,49.413933,0.6085342728762156
84.32915846026853,0.8857480190193556,1.9153951846692627,1.0,2.0,2.0,24.251648156886382,0.003838610206882531,1,14.024971,49.305443,0.6072632086553581
84.32915846026853,0.8786072702080652,1.9153951846692627,1.0,2.0,2.0,24.251648156886382,0.003838610206882531,1,14.101899,49.23221,0.6043538074924358
84.32915846026853,0.8786072702080652,1.90129438211414,1.0,2.0,2.0,24.251648156886382,0.003838610206882531,1,14.089393,49.19014,0.6031789552648813
84.32915846026853,0.8786072702080652,1.90129438211414,1.0,2.0,2.0,24.30525882728844,0.003838610206882531,1,14.121978,49.082806,0.6020058960569866
84.68797224720194,0.8786072702080652,1.90129438211414,1.0,2.0,2.0,24.30525882728844,0.003838610206882531,1,14.034758,48.974323,0.5998498319779476
84.68797224720194,0.8786072702080652,1.90129438211414,1.0,2.0,2.0,24.358869497690495,0.003838610206882531,1,14.067343,48.86698,0.5970687632705035
84.68797224720194,0.8786072702080652,1.90129438211414,1.0,2.0,2.0,24.41248016809255,0.003838610206882531,1,14.099932,48.759647,0.5942908740803051
84.68797224720194,0.8786072702080652,1.90129438211414,1.0,2.0,2.0,24.46609083849461,0.003838610206882531,1,14.132522,48.652306,0.5927241477424823
85.04678603413534,0.8786072702080652,1.90129438211414,1.0,2.0,2.0,24.46609083849461,0.003838610206882531,1,14.045294,48.54382,0.590969948310789
85.04678603413534,0.8786072702080652,1.90129438211414,1.0,2.0,2.0,24.519701508896667,0.003838610206882531,1,14.077881,48.436485,0.588191624220989
85.04678603413534,0.8786072702080652,1.90129438211414,1.0,2.0,2.0,24.573312179298725,0.003838610206882531,1,14.110473,48.32915,0.5854162941007391
85.04678603413534,0.8786072702080652,1.90129438211414,1.0,2.0,2.0,24.62692284970078,0.003838610206882531,1,14.14306,48.22181,0.5834408787347325
85.40559982106875,0.8786072702080652,1.90129438211414,1.0,2.0,2.0,24.62692284970078,0.003838610206882531,1,14.055823,48.113323,0.5820917799016249
85.40559982106875,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,24.62692284970078,0.003838610206882531,1,14.132756,48.040092,0.5792917335821826
85.40559982106875,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,24.680533520102834,0.003838610206882531,1,14.165339,47.93276,0.5781110892477278
85.76441360800214,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,24.680533520102834,0.003838610206882531,1,14.078104,47.824276,0.5755128361312898
85.76441360800214,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,24.734144190504892,0.003838610206882531,1,14.1107,47.716938,0.5727393916437434
85.76441360800214,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,24.78775486090695,0.003838610206882531,1,14.143286,47.609604,0.5700133070169016
85.76441360800214,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,24.841365531309005,0.003838610206882531,1,14.175874,47.502266,0.5688301821902777
86.12322739493555,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,24.841365531309005,0.003838610206882531,1,14.088654,47.39378,0.5666323394761761
86.12322739493555,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,24.89497620171106,0.003838610206882531,1,14.121232,47.28644,0.5638614580107549
86.12322739493555,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,24.94858687211312,0.003838610206882531,1,14.153828,47.1791,0.5610933981934796
86.12322739493555,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,25.002197542515177,0.003838610206882531,1,14.186417,47.071766,0.5595479001109099
86.48204118186896,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,25.002197542515177,0.003838610206882531,1,14.09918,46.963276,0.5577532066058966
86.48204118186896,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,25.055808212917235,0.003838610206882531,1,14.131769,46.85595,0.5549850156828886
86.48204118186896,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,25.10941888331929,0.003838610206882531,1,14.164356,46.748615,0.5522196031104455
86.48204118186896,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,25.163029553721344,0.003838610206882531,1,14.196954,46.64127,0.5502642128091073
86.84085496880238,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,25.163029553721344,0.003838610206882531,1,14.109715,46.532787,0.5488757866873105
86.84085496880238,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,25.216640224123402,0.003838610206882531,1,14.142302,46.425453,0.546109887954227
86.84085496880238,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,25.27025089452546,0.003838610206882531,1,14.1749,46.318115,0.5433467878931072
86.84085496880238,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,25.323861564927515,0.003838610206882531,1,14.207486,46.21078,0.5409792640131804
86.84085496880238,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,25.377472235329574,0.003838610206882531,1,14.240077,46.103447,0.5397860794533133
87.19966875573577,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,25.377472235329574,0.003838610206882531,1,14.165561,45.994953,0.5371982311059375
87.19966875573577,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,25.43108290573163,0.003838610206882531,1,14.19813,45.88762,0.5344382975829061
87.19966875573577,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,25.484693576133687,0.003838610206882531,1,14.230697,45.780285,0.5319731224547507
87.19966875573577,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,25.538304246535738,0.003838610206882531,1,14.263251,45.672947,0.5307761044598661
87.55848254266917,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,25.538304246535738,0.003838610206882531,1,14.201881,45.564457,0.5282499347222585
87.55848254266917,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,25.591914916937796,0.003838610206882531,1,14.234449,45.45712,0.5254935012333765
87.55848254266917,0.8714665213967749,1.90129438211414,1.0,2.0,2.0,25.64552558733985,0.003838610206882531,1,14.2670145,45.34979,0.5232547309772703
87.55848254266917,0.8714665213967749,1.8871935795590171,1.0,2.0,2.0,25.64552558733985,0.003838610206882531,1,14.250821,45.307713,0.522000162774373
87.55848254266917,0.8714665213967749,1.8871935795590171,1.0,2.0,2.0,25.699136257741905,0.003838610206882531,1,14.283392,45.200375,0.5208007266924353
87.91729632960258,0.8714665213967749,1.8871935795590171,1.0,2.0,2.0,25.699136257741905,0.003838610206882531,1,14.222019,45.091892,0.5184538877462683
87.91729632960258,0.8714665213967749,1.8871935795590171,1.0,2.0,2.0,25.752746928143964,0.003838610206882531,1,14.254582,44.98456,0.5157003315334331
