Experiment,Orifice width,Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary number,Diameter
1,175.00,2.51,4.03,1.44,2.00,3.94,8.00,0.200,246.51
2,175.00,2.51,4.03,1.44,2.00,3.94,8.00,0.150,245.48
3,175.00,2.51,4.03,1.44,2.00,3.94,8.00,0.100,245.03
4,175.00,3.00,5.00,2.00,2.50,2.00,16.00,0.264,238.70
5,175.00,2.50,4.00,1.50,2.00,4.00,10.00,0.529,238.59
6,175.00,2.50,4.00,1.50,2.00,4.00,10.00,0.264,236.27
7,150.00,1.50,6.00,2.00,2.00,3.50,10.00,0.132,236.12
8,150.00,3.00,4.01,1.00,3.50,2.49,8.00,0.200,232.54
9,175.00,2.50,4.00,1.50,2.00,4.00,10.00,0.132,232.30
10,150.00,3.00,4.01,1.00,3.50,2.49,8.00,0.150,232.17
11,175.00,2.50,4.00,1.50,2.00,4.00,10.00,1.058,231.81
12,150.00,3.00,4.00,1.00,3.50,2.50,10.00,0.529,231.45
13,150.00,3.00,4.00,1.00,3.50,2.50,10.00,1.058,228.52
14,175.00,3.00,5.00,2.00,2.50,2.00,19.00,1.058,227.73
15,175.00,3.00,5.00,2.00,2.50,2.00,16.00,0.529,226.03
16,175.00,2.50,4.00,1.50,2.00,4.00,13.00,0.529,221.51
17,175.00,3.00,5.00,2.00,2.50,2.00,22.00,1.058,214.55
18,175.00,2.50,4.00,1.50,2.00,4.00,13.00,1.058,214.30
19,175.00,3.00,5.00,2.00,2.50,2.00,19.00,0.529,213.85
20,175.00,2.50,4.00,1.50,2.00,4.00,16.00,0.264,213.65