Experiment,Orifice width,Aspect ratio,Expansion ratio,Normalized orifice length,Normalized water inlet,Normalized oil inlet,Flow rate ratio,Capillary corrected,,Rate,Size,regime,,Monodispersity,,,,,
201,100.00,2.50,6.00,1.00,2.50,3.00,10.00,0.066,,38.80,100.82,1.00,,5.38,,,,,
202,100.00,2.50,6.00,1.00,2.50,3.00,10.00,0.132,,83.39,98.44,1.00,,4.64,,,,,
203,100.00,2.50,6.00,1.00,2.50,3.00,10.00,0.264,,32.03,170.61,2.00,,4.02,,,,,
204,100.00,2.50,6.00,1.00,2.50,3.00,10.00,0.529,,78.84,159.21,2.00,,4.12,,,,,
205,100.00,2.50,6.00,1.00,2.50,3.00,10.00,1.058,,131.53,169.13,2.00,,2.88,,,,,
206,100.00,2.50,6.00,1.00,2.50,3.00,13.00,0.066,,38.90,92.30,1.00,,2.08,,,,,
207,100.00,2.50,6.00,1.00,2.50,3.00,13.00,0.132,,83.89,90.01,1.00,,1.44,,,,,
208,100.00,2.50,6.00,1.00,2.50,3.00,13.00,0.264,,32.50,155.57,2.00,,4.04,,,,,
209,100.00,2.50,6.00,1.00,2.50,3.00,13.00,0.529,,81.76,144.12,2.00,,1.51,,,,,
210,100.00,2.50,6.00,1.00,2.50,3.00,13.00,1.058,,148.49,148.82,2.00,,6.09,,,,,
211,100.00,2.50,6.00,1.00,2.50,3.00,16.00,0.066,,18.77,109.81,1.00,,2.27,,,,,
212,100.00,2.50,6.00,1.00,2.50,3.00,16.00,0.132,,79.16,85.63,1.00,,4.16,,,,,
213,100.00,2.50,6.00,1.00,2.50,3.00,16.00,0.264,,31.76,146.28,2.00,,3.14,,,,,
214,100.00,2.50,6.00,1.00,2.50,3.00,16.00,0.529,,65.73,144.63,2.00,,5.04,,,,,
215,100.00,2.50,6.00,1.00,2.50,3.00,16.00,1.058,,147.55,139.17,2.00,,4.78,,,,,
216,100.00,2.50,6.00,1.00,2.50,3.00,19.00,0.066,,24.07,95.45,1.00,,1.76,,,,,
217,100.00,2.50,6.00,1.00,2.50,3.00,19.00,0.132,,100.00,74.81,1.00,,2.04,,,,,
218,100.00,2.50,6.00,1.00,2.50,3.00,19.00,0.264,,30.93,139.36,2.00,,4.64,,,,,
219,100.00,2.50,6.00,1.00,2.50,3.00,19.00,0.529,,93.12,121.60,2.00,,3.61,,,,,
220,100.00,2.50,6.00,1.00,2.50,3.00,19.00,1.058,,161.94,127.40,2.00,,2.52,,,,,
221,100.00,2.50,6.00,1.00,2.50,3.00,22.00,0.066,,13.50,110.21,1.00,,2.83,,,,,
222,100.00,2.50,6.00,1.00,2.50,3.00,22.00,0.132,,44.45,93.34,2.00,,3.60,,,,,
223,100.00,2.50,6.00,1.00,2.50,3.00,22.00,0.264,,68.18,101.98,2.00,,5.39,,,,,
224,100.00,2.50,6.00,1.00,2.50,3.00,22.00,0.529,,129.36,103.79,2.00,,4.20,,,,,
225,100.00,2.50,6.00,1.00,2.50,3.00,22.00,1.058,,188.51,115.34,2.00,,2.62,,,,,
226,100.00,3.00,2.00,1.50,3.00,3.50,10.00,0.066,,49.33,97.06,1.00,,2.23,,,,,
227,100.00,3.00,2.00,1.50,3.00,3.50,10.00,0.132,,70.32,108.66,2.00,,2.93,,,,,
228,100.00,3.00,2.00,1.50,3.00,3.50,10.00,0.264,,151.81,105.93,2.00,,2.01,,,,,
229,100.00,3.00,2.00,1.50,3.00,3.50,10.00,0.529,,261.39,111.35,2.00,,1.67,,,,,
230,100.00,3.00,2.00,1.50,3.00,3.50,10.00,1.058,,651.41,103.48,2.00,,2.99,,,,,
231,100.00,3.00,2.00,1.50,3.00,3.50,13.00,0.066,,67.07,80.28,1.00,,1.58,,,,,
232,100.00,3.00,2.00,1.50,3.00,3.50,13.00,0.132,,77.49,96.39,2.00,,3.34,,,,,
233,100.00,3.00,2.00,1.50,3.00,3.50,13.00,0.264,,140.75,99.53,2.00,,5.53,,,,,
234,100.00,3.00,2.00,1.50,3.00,3.50,13.00,0.529,,340.03,93.46,2.00,,6.04,,,,,
235,100.00,3.00,2.00,1.50,3.00,3.50,13.00,1.058,,629.46,95.90,2.00,,2.90,,,,,
236,100.00,3.00,2.00,1.50,3.00,3.50,16.00,0.066,,55.85,79.62,1.00,,6.22,,,,,
237,100.00,3.00,2.00,1.50,3.00,3.50,16.00,0.132,,95.84,83.79,2.00,,1.64,,,,,
238,100.00,3.00,2.00,1.50,3.00,3.50,16.00,0.264,,152.22,90.48,2.00,,3.42,,,,,
239,100.00,3.00,2.00,1.50,3.00,3.50,16.00,0.529,,320.47,88.95,2.00,,4.63,,,,,
240,100.00,3.00,2.00,1.50,3.00,3.50,16.00,1.058,,680.51,87.19,2.00,,5.63,,,,,
241,100.00,3.00,2.00,1.50,3.00,3.50,19.00,0.066,,56.41,74.94,1.00,,8.19,,,,,
242,100.00,3.00,2.00,1.50,3.00,3.50,19.00,0.132,,100.00,78.01,2.00,,3.92,,,,,
243,100.00,3.00,2.00,1.50,3.00,3.50,19.00,0.264,,163.64,83.41,2.00,,6.19,,,,,
244,100.00,3.00,2.00,1.50,3.00,3.50,19.00,0.529,,392.62,78.50,2.00,,4.50,,,,,
245,100.00,3.00,2.00,1.50,3.00,3.50,19.00,1.058,,609.58,85.41,2.00,,4.89,,,,,
246,100.00,3.00,2.00,1.50,3.00,3.50,22.00,0.066,,58.16,70.64,2.00,,4.94,,,,,
247,100.00,3.00,2.00,1.50,3.00,3.50,22.00,0.132,,106.25,72.81,2.00,,5.08,,,,,
248,100.00,3.00,2.00,1.50,3.00,3.50,22.00,0.264,,196.79,74.70,2.00,,4.24,,,,,
249,100.00,3.00,2.00,1.50,3.00,3.50,22.00,0.529,,307.07,81.14,2.00,,3.55,,,,,
250,100.00,3.00,2.00,1.50,3.00,3.50,22.00,1.058,,637.65,80.13,2.00,,4.38,,,,,
251,125.00,1.00,4.00,3.00,2.50,3.50,10.00,0.066,,46.74,84.49,1.00,,1.53,,,,,
252,125.00,1.00,4.00,3.00,2.50,3.50,10.00,0.132,,147.08,72.64,1.00,,0.96,,,,,
253,125.00,1.00,4.00,3.00,2.50,3.50,10.00,0.264,,311.04,71.31,1.00,,1.43,,,,,
254,125.00,1.00,4.00,3.00,2.50,3.50,10.00,0.529,,207.21,102.87,2.00,,0.96,,,,,
255,125.00,1.00,4.00,3.00,2.50,3.50,10.00,1.058,,382.94,105.61,2.00,,4.01,,,,,
256,125.00,1.00,4.00,3.00,2.50,3.50,13.00,0.066,,58.27,71.93,1.00,,1.47,,,,,
257,125.00,1.00,4.00,3.00,2.50,3.50,13.00,0.132,,131.97,69.01,1.00,,1.45,,,,,
258,125.00,1.00,4.00,3.00,2.50,3.50,13.00,0.264,,362.78,62.07,1.00,,6.74,,,,,
259,125.00,1.00,4.00,3.00,2.50,3.50,13.00,0.529,,155.83,103.64,2.00,,1.05,,,,,
260,125.00,1.00,4.00,3.00,2.50,3.50,13.00,1.058,,415.55,94.17,2.00,,7.00,,,,,
261,125.00,1.00,4.00,3.00,2.50,3.50,16.00,0.066,,46.98,72.12,1.00,,1.82,,,,,
262,125.00,1.00,4.00,3.00,2.50,3.50,16.00,0.132,,170.91,59.08,1.00,,1.02,,,,,
263,125.00,1.00,4.00,3.00,2.50,3.50,16.00,0.264,,355.47,58.31,1.00,,5.68,,,,,
264,125.00,1.00,4.00,3.00,2.50,3.50,16.00,0.529,,182.76,91.71,2.00,,4.32,,,,,
265,125.00,1.00,4.00,3.00,2.50,3.50,16.00,1.058,,352.46,92.83,2.00,,12.54,,,,,
266,125.00,1.00,4.00,3.00,2.50,3.50,19.00,0.066,,68.08,60.18,1.00,,5.21,,,,,
267,125.00,1.00,4.00,3.00,2.50,3.50,19.00,0.132,,163.53,56.62,1.00,,1.82,,,,,
268,125.00,1.00,4.00,3.00,2.50,3.50,19.00,0.264,,306.76,57.84,1.00,,1.50,,,,,
269,125.00,1.00,4.00,3.00,2.50,3.50,19.00,0.529,,192.95,85.05,2.00,,4.04,,,,,
270,125.00,1.00,4.00,3.00,2.50,3.50,19.00,1.058,,414.49,83.05,2.00,,9.46,,,,,
271,125.00,1.00,4.00,3.00,2.50,3.50,22.00,0.066,,78.75,54.59,1.00,,2.26,,,,,
272,125.00,1.00,4.00,3.00,2.50,3.50,22.00,0.132,,183.22,51.91,1.00,,7.81,,,,,
273,125.00,1.00,4.00,3.00,2.50,3.50,22.00,0.264,,418.62,49.66,1.00,,7.47,,,,,
274,125.00,1.00,4.00,3.00,2.50,3.50,22.00,0.529,,183.75,82.32,2.00,,3.38,,,,,
275,125.00,1.00,4.00,3.00,2.50,3.50,22.00,1.058,,409.12,79.43,2.00,,6.84,,,,,
276,125.00,1.50,5.00,1.00,3.00,4.00,10.00,0.066,,44.91,95.78,1.00,,1.07,,,,,
277,125.00,1.50,5.00,1.00,3.00,4.00,10.00,0.132,,30.91,136.67,2.00,,1.60,,,,,
278,125.00,1.50,5.00,1.00,3.00,4.00,10.00,0.264,,65.61,133.98,2.00,,1.76,,,,,
279,125.00,1.50,5.00,1.00,3.00,4.00,10.00,0.529,,105.44,144.12,2.00,,2.37,,,,,
280,125.00,1.50,5.00,1.00,3.00,4.00,10.00,1.058,,235.37,138.94,2.00,,2.73,,,,,
281,125.00,1.50,5.00,1.00,3.00,4.00,13.00,0.066,,46.58,86.69,1.00,,1.94,,,,,
282,125.00,1.50,5.00,1.00,3.00,4.00,13.00,0.132,,53.69,104.17,2.00,,1.49,,,,,
283,125.00,1.50,5.00,1.00,3.00,4.00,13.00,0.264,,72.39,118.81,2.00,,1.25,,,,,
284,125.00,1.50,5.00,1.00,3.00,4.00,13.00,0.529,,146.70,118.28,2.00,,2.73,,,,,
285,125.00,1.50,5.00,1.00,3.00,4.00,13.00,1.058,,238.26,126.78,2.00,,4.03,,,,,
286,125.00,1.50,5.00,1.00,3.00,4.00,16.00,0.066,,55.52,76.30,1.00,,2.14,,,,,
287,125.00,1.50,5.00,1.00,3.00,4.00,16.00,0.132,,54.10,96.96,2.00,,1.93,,,,,
288,125.00,1.50,5.00,1.00,3.00,4.00,16.00,0.264,,74.14,109.98,2.00,,4.01,,,,,
289,125.00,1.50,5.00,1.00,3.00,4.00,16.00,0.529,,150.23,109.50,2.00,,3.86,,,,,
290,125.00,1.50,5.00,1.00,3.00,4.00,16.00,1.058,,222.58,121.02,2.00,,3.67,,,,,
291,125.00,1.50,5.00,1.00,3.00,4.00,19.00,0.066,,58.39,70.85,1.00,,5.07,,,,,
292,125.00,1.50,5.00,1.00,3.00,4.00,19.00,0.132,,55.59,90.74,2.00,,4.88,,,,,
293,125.00,1.50,5.00,1.00,3.00,4.00,19.00,0.264,,57.54,113.02,2.00,,1.49,,,,,
294,125.00,1.50,5.00,1.00,3.00,4.00,19.00,0.529,,147.95,103.94,2.00,,3.97,,,,,
295,125.00,1.50,5.00,1.00,3.00,4.00,19.00,1.058,,221.25,114.51,2.00,,5.06,,,,,
296,125.00,1.50,5.00,1.00,3.00,4.00,22.00,0.066,,62.54,65.94,1.00,,7.32,,,,,
297,125.00,1.50,5.00,1.00,3.00,4.00,22.00,0.132,,43.57,93.72,2.00,,9.10,,,,,
298,125.00,1.50,5.00,1.00,3.00,4.00,22.00,0.264,,65.24,103.21,2.00,,1.01,,,,,
299,125.00,1.50,5.00,1.00,3.00,4.00,22.00,0.529,,128.95,103.62,2.00,,3.12,,,,,
300,125.00,1.50,5.00,1.00,3.00,4.00,22.00,1.058,,204.36,111.98,2.00,,2.64,,,,,
301,125.00,2.00,6.00,1.50,3.50,2.00,10.00,0.066,,30.38,95.31,1.00,,2.37,,,,,
302,125.00,2.00,6.00,1.50,3.50,2.00,10.00,0.132,,75.47,88.66,1.00,,2.32,,,,,
303,125.00,2.00,6.00,1.50,3.50,2.00,10.00,0.264,,14.46,193.78,2.00,,1.48,,,,,
304,125.00,2.00,6.00,1.50,3.50,2.00,10.00,0.529,,28.02,195.81,2.00,,6.55,,,,,
305,125.00,2.00,6.00,1.50,3.50,2.00,10.00,1.058,,106.04,158.32,2.00,,1.17,,,,,
306,125.00,2.00,6.00,1.50,3.50,2.00,13.00,0.066,,25.71,92.33,1.00,,7.60,,,,,
307,125.00,2.00,6.00,1.50,3.50,2.00,13.00,0.132,,85.14,78.04,1.00,,2.54,,,,,
308,125.00,2.00,6.00,1.50,3.50,2.00,13.00,0.264,,16.80,168.87,2.00,,2.28,,,,,
309,125.00,2.00,6.00,1.50,3.50,2.00,13.00,0.529,,32.78,170.28,2.00,,3.34,,,,,
310,125.00,2.00,6.00,1.50,3.50,2.00,13.00,1.058,,113.61,141.77,2.00,,1.63,,,,,
311,125.00,2.00,6.00,1.50,3.50,2.00,16.00,0.066,,16.02,100.85,1.00,,5.42,,,,,
312,125.00,2.00,6.00,1.50,3.50,2.00,16.00,0.132,,75.02,75.96,1.00,,4.39,,,,,
313,125.00,2.00,6.00,1.50,3.50,2.00,16.00,0.264,,26.22,135.85,2.00,,6.35,,,,,
314,125.00,2.00,6.00,1.50,3.50,2.00,16.00,0.529,,38.14,151.08,2.00,,2.77,,,,,
315,125.00,2.00,6.00,1.50,3.50,2.00,16.00,1.058,,99.33,138.35,2.00,,1.57,,,,,
316,125.00,2.00,6.00,1.50,3.50,2.00,19.00,0.066,,15.80,95.69,1.00,,4.53,,,,,
317,125.00,2.00,6.00,1.50,3.50,2.00,19.00,0.132,,27.13,100.68,1.00,,3.61,,,,,
318,125.00,2.00,6.00,1.50,3.50,2.00,19.00,0.264,,25.27,129.88,2.00,,5.16,,,,,
319,125.00,2.00,6.00,1.50,3.50,2.00,19.00,0.529,,32.97,149.77,2.00,,4.90,,,,,
320,125.00,2.00,6.00,1.50,3.50,2.00,19.00,1.058,,121.40,122.19,2.00,,3.60,,,,,
321,125.00,2.00,6.00,1.50,3.50,2.00,22.00,0.066,,42.35,65.60,1.00,,4.22,,,,,
322,125.00,2.00,6.00,1.50,3.50,2.00,22.00,0.132,,22.24,102.45,2.00,,3.49,,,,,
323,125.00,2.00,6.00,1.50,3.50,2.00,22.00,0.264,,24.64,124.74,2.00,,7.74,,,,,
324,125.00,2.00,6.00,1.50,3.50,2.00,22.00,0.529,,37.26,136.92,2.00,,7.80,,,,,
325,125.00,2.00,6.00,1.50,3.50,2.00,22.00,1.058,,130.78,113.51,2.00,,2.63,,,,,
326,125.00,2.50,2.00,2.00,4.00,2.50,10.00,0.066,,16.66,126.50,1.00,,3.90,,,,,
327,125.00,2.50,2.00,2.00,4.00,2.50,10.00,0.132,,44.30,115.03,1.00,,2.25,,,,,
328,125.00,2.50,2.00,2.00,4.00,2.50,10.00,0.264,,83.95,117.11,2.00,,3.64,,,,,
329,125.00,2.50,2.00,2.00,4.00,2.50,10.00,0.529,,144.44,123.14,2.00,,6.60,,,,,
330,125.00,2.50,2.00,2.00,4.00,2.50,10.00,1.058,,233.71,132.15,2.00,,8.74,,,,,
331,125.00,2.50,2.00,2.00,4.00,2.50,13.00,0.066,,7.82,149.11,1.00,,5.32,,,,,
332,125.00,2.50,2.00,2.00,4.00,2.50,13.00,0.132,,53.45,99.00,1.00,,6.91,,,,,
333,125.00,2.50,2.00,2.00,4.00,2.50,13.00,0.264,,97.39,102.12,1.00,,1.62,,,,,
334,125.00,2.50,2.00,2.00,4.00,2.50,13.00,0.529,,128.86,117.20,2.00,,1.16,,,,,
335,125.00,2.50,2.00,2.00,4.00,2.50,13.00,1.058,,220.58,123.44,2.00,,5.29,,,,,
336,125.00,2.50,2.00,2.00,4.00,2.50,16.00,0.066,,7.44,141.48,1.00,,12.12,,,,,
337,125.00,2.50,2.00,2.00,4.00,2.50,16.00,0.132,,49.39,94.85,1.00,,3.89,,,,,
338,125.00,2.50,2.00,2.00,4.00,2.50,16.00,0.264,,72.49,105.15,2.00,,1.89,,,,,
339,125.00,2.50,2.00,2.00,4.00,2.50,16.00,0.529,,153.54,103.16,2.00,,5.77,,,,,
340,125.00,2.50,2.00,2.00,4.00,2.50,16.00,1.058,,249.31,110.58,2.00,,4.33,,,,,
341,125.00,2.50,2.00,2.00,4.00,2.50,19.00,0.066,,14.41,107.17,1.00,,8.52,,,,,
342,125.00,2.50,2.00,2.00,4.00,2.50,19.00,0.132,,67.97,80.52,1.00,,7.79,,,,,
343,125.00,2.50,2.00,2.00,4.00,2.50,19.00,0.264,,86.96,93.45,2.00,,3.93,,,,,
344,125.00,2.50,2.00,2.00,4.00,2.50,19.00,0.529,,113.79,107.65,2.00,,2.75,,,,,
345,125.00,2.50,2.00,2.00,4.00,2.50,19.00,1.058,,244.26,105.14,2.00,,2.43,,,,,
346,125.00,2.50,2.00,2.00,4.00,2.50,22.00,0.066,,14.40,102.09,1.00,,2.30,,,,,
347,125.00,2.50,2.00,2.00,4.00,2.50,22.00,0.132,,59.66,80.09,1.00,,3.92,,,,,
348,125.00,2.50,2.00,2.00,4.00,2.50,22.00,0.264,,78.27,92.17,2.00,,3.00,,,,,
349,125.00,2.50,2.00,2.00,4.00,2.50,22.00,0.529,,125.00,99.35,2.00,,1.47,,,,,
350,125.00,2.50,2.00,2.00,4.00,2.50,22.00,1.058,,232.33,101.81,2.00,,3.83,,,,,
351,125.00,3.00,3.00,2.50,2.00,3.00,10.00,0.066,,60.38,115.57,1.00,,2.35,,,,,
352,125.00,3.00,3.00,2.50,2.00,3.00,10.00,0.132,,61.03,145.09,2.00,,7.43,,,,,
353,125.00,3.00,3.00,2.50,2.00,3.00,10.00,0.264,,94.92,157.78,2.00,,8.81,,,,,
354,125.00,3.00,3.00,2.50,2.00,3.00,10.00,0.529,,204.03,154.03,2.00,,5.74,,,,,
355,125.00,3.00,3.00,2.50,2.00,3.00,10.00,1.058,,421.89,152.33,2.00,,5.09,,,,,
356,125.00,3.00,3.00,2.50,2.00,3.00,13.00,0.066,,65.32,103.15,1.00,,3.18,,,,,
357,125.00,3.00,3.00,2.50,2.00,3.00,13.00,0.132,,62.16,132.13,2.00,,4.52,,,,,
358,125.00,3.00,3.00,2.50,2.00,3.00,13.00,0.264,,132.89,129.23,2.00,,5.92,,,,,
359,125.00,3.00,3.00,2.50,2.00,3.00,13.00,0.529,,194.76,143.34,2.00,,11.35,,,,,
360,125.00,3.00,3.00,2.50,2.00,3.00,13.00,1.058,,438.89,137.75,2.00,,6.50,,,,,
361,125.00,3.00,3.00,2.50,2.00,3.00,16.00,0.066,,76.20,91.44,1.00,,4.83,,,,,
362,125.00,3.00,3.00,2.50,2.00,3.00,16.00,0.132,,79.14,113.76,2.00,,5.25,,,,,
363,125.00,3.00,3.00,2.50,2.00,3.00,16.00,0.264,,122.65,123.85,2.00,,2.60,,,,,
364,125.00,3.00,3.00,2.50,2.00,3.00,16.00,0.529,,190.60,134.72,2.00,,12.51,,,,,
365,125.00,3.00,3.00,2.50,2.00,3.00,16.00,1.058,,426.01,129.82,2.00,,7.87,,,,,
366,125.00,3.00,3.00,2.50,2.00,3.00,19.00,0.066,,58.07,94.53,1.00,,7.37,,,,,
367,125.00,3.00,3.00,2.50,2.00,3.00,19.00,0.132,,48.65,126.34,2.00,,5.86,,,,,
368,125.00,3.00,3.00,2.50,2.00,3.00,19.00,0.264,,110.36,121.15,2.00,,2.35,,,,,
369,125.00,3.00,3.00,2.50,2.00,3.00,19.00,0.529,,207.83,123.60,2.00,,6.00,,,,,
370,125.00,3.00,3.00,2.50,2.00,3.00,19.00,1.058,,400.53,125.14,2.00,,5.97,,,,,
371,125.00,3.00,3.00,2.50,2.00,3.00,22.00,0.066,,72.86,83.47,1.00,,10.70,,,,,
372,125.00,3.00,3.00,2.50,2.00,3.00,22.00,0.132,,73.40,104.90,2.00,,3.63,,,,,
373,125.00,3.00,3.00,2.50,2.00,3.00,22.00,0.264,,117.69,112.92,2.00,,8.05,,,,,
374,125.00,3.00,3.00,2.50,2.00,3.00,22.00,0.529,,172.26,125.31,2.00,,5.83,,,,,
375,125.00,3.00,3.00,2.50,2.00,3.00,22.00,1.058,,417.21,117.56,2.00,,7.34,,,,,
376,150.00,1.00,5.00,1.50,4.00,3.00,10.00,0.066,,27.44,93.42,1.00,,1.75,,,,,
377,150.00,1.00,5.00,1.50,4.00,3.00,10.00,0.132,,65.08,88.25,1.00,,3.43,,,,,
378,150.00,1.00,5.00,1.50,4.00,3.00,10.00,0.264,,198.39,76.69,1.00,,8.25,,,,,
379,150.00,1.00,5.00,1.50,4.00,3.00,10.00,0.529,,47.72,155.36,2.00,,2.02,,,,,
380,150.00,1.00,5.00,1.50,4.00,3.00,10.00,1.058,,119.30,144.23,2.00,,0.71,,,,,
381,150.00,1.00,5.00,1.50,4.00,3.00,13.00,0.066,,33.88,79.78,1.00,,5.92,,,,,
382,150.00,1.00,5.00,1.50,4.00,3.00,13.00,0.132,,72.48,78.01,1.00,,4.98,,,,,
383,150.00,1.00,5.00,1.50,4.00,3.00,13.00,0.264,,14.37,168.56,2.00,,4.23,,,,,
384,150.00,1.00,5.00,1.50,4.00,3.00,13.00,0.529,,69.29,125.71,2.00,,4.30,,,,,
385,150.00,1.00,5.00,1.50,4.00,3.00,13.00,1.058,,122.05,131.15,2.00,,2.64,,,,,
386,150.00,1.00,5.00,1.50,4.00,3.00,16.00,0.066,,42.47,69.05,1.00,,6.81,,,,,
387,150.00,1.00,5.00,1.50,4.00,3.00,16.00,0.132,,46.27,84.54,1.00,,1.48,,,,,
388,150.00,1.00,5.00,1.50,4.00,3.00,16.00,0.264,,38.31,113.44,2.00,,1.03,,,,,
389,150.00,1.00,5.00,1.50,4.00,3.00,16.00,0.529,,67.03,118.61,2.00,,1.38,,,,,
390,150.00,1.00,5.00,1.50,4.00,3.00,16.00,1.058,,117.17,124.05,2.00,,1.44,,,,,
391,150.00,1.00,5.00,1.50,4.00,3.00,19.00,0.066,,43.94,64.47,1.00,,2.37,,,,,
392,150.00,1.00,5.00,1.50,4.00,3.00,19.00,0.132,,105.99,60.57,1.00,,3.15,,,,,
393,150.00,1.00,5.00,1.50,4.00,3.00,19.00,0.264,,35.91,109.46,2.00,,3.24,,,,,
394,150.00,1.00,5.00,1.50,4.00,3.00,19.00,0.529,,74.60,108.08,2.00,,1.33,,,,,
395,150.00,1.00,5.00,1.50,4.00,3.00,19.00,1.058,,139.85,110.44,2.00,,5.58,,,,,
396,150.00,1.00,5.00,1.50,4.00,3.00,22.00,0.066,,60.22,55.27,1.00,,3.10,,,,,
397,150.00,1.00,5.00,1.50,4.00,3.00,22.00,0.132,,66.44,67.39,1.00,,1.98,,,,,
398,150.00,1.00,5.00,1.50,4.00,3.00,22.00,0.264,,37.81,102.46,2.00,,2.03,,,,,
399,150.00,1.00,5.00,1.50,4.00,3.00,22.00,0.529,,64.10,108.27,2.00,,4.18,,,,,
